EntityNumber,ActivityGroup,NaceVersion,NaceCode,Classification,ActivityGroup_libelle,NaceVersion_libelle,NaceCode_libelle
0836.157.420,006,2025,47400,MAIN,Activités ONSS,2025,Commerce de détail d’équipements de l’information et de la communication
0836.157.420,001,2025,47400,MAIN,Activités TVA,2025,Commerce de détail d’équipements de l’information et de la communication
0836.157.420,006,2008,47410,MAIN,Activités ONSS,2008,"Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé"
0836.157.420,001,2008,47410,MAIN,Activités TVA,2008,"Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé"
