EntityNumber,ActivityGroup,NaceVersion,NaceCode,Classification,ActivityGroup_libelle,NaceVersion_libelle,NaceCode_libelle
0878.065.378,006,2025,73110,MAIN,Activités ONSS,2025,Activités des agences de publicité
0878.065.378,006,2003,74401,MAIN,Activités ONSS,2003,Agences de publicité
0878.065.378,001,2003,72600,MAIN,Activités TVA,2003,Autres activités rattachées à l'informatique
0878.065.378,001,2025,62900,MAIN,Activités TVA,2025,Autres activités de service informatique
0878.065.378,006,2008,73110,MAIN,Activités ONSS,2008,Activités des agences de publicité
0878.065.378,001,2008,62090,MAIN,Activités TVA,2008,Autres activités informatiques
