numero,page,texte,lien
0836.157.420,1,"7) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ONTSLAGEN - BENOEMINGEN 2018-03-06 / 0041051 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=6&btw=836157420
0836.157.420,1,"HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ONTSLAGEN - BENOEMINGEN 2018-03-06 / 0041051 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2018/03/06/18041051.pdf
0836.157.420,1,"7) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ONTSLAGEN - BENOEMINGEN 2018-03-06 / 0041051 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=6&btw=836157420
0836.157.420,1,"8) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ONTSLAGEN - BENOEMINGEN 2017-08-23 / 0121934 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=7&btw=836157420
0836.157.420,1,"HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ONTSLAGEN - BENOEMINGEN 2017-08-23 / 0121934 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2017/08/23/17121934.pdf
0836.157.420,1,"8) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ONTSLAGEN - BENOEMINGEN 2017-08-23 / 0121934 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=7&btw=836157420
0836.157.420,1,"9) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ME. - JAARREKENING 24.09.2016, GGK 22.03.2017, NGL 31.03.2017 17077-0149-036 2017-04-12 / 0048635",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=8&btw=836157420
0836.157.420,1,"9) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ME. - JAARREKENING 24.09.2016, GGK 22.03.2017, NGL 31.03.2017 17077-0149-036 2017-04-12 / 0048635 DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=8&btw=836157420
0836.157.420,1,"10) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ONTSLAGEN - BENOEMINGEN 2017-02-20 / 0027011 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=9&btw=836157420
0836.157.420,1,"HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ONTSLAGEN - BENOEMINGEN 2017-02-20 / 0027011 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2017/02/20/17027011.pdf
0836.157.420,1,"10) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ONTSLAGEN - BENOEMINGEN 2017-02-20 / 0027011 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=9&btw=836157420
0836.157.420,1,"11) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ONTSLAGEN - BENOEMINGEN 2016-04-15 / 0052650 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=10&btw=836157420
